Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player Profile URL,Nationality
Azam Khan (DV),2025-2025,10,8,-,83,27,10.37,57,145.61,-,-,-,6,4,https://www.espncricinfo.com/cricketers/azam-khan-1137262,Pakistan
BR Dunk (DC),2025-2025,5,5,-,82,28,16.40,69,118.84,-,-,-,9,3,https://www.espncricinfo.com/cricketers/ben-dunk-388678,Australia
PD Salt (ADKR),2025-2025,3,3,1,75,71*,37.50,60,125.00,-,1,-,5,4,https://www.espncricinfo.com/cricketers/phil-salt-669365,England
AJ Hosein (MIE),2025-2025,10,7,5,75,30,37.50,70,107.14,-,-,-,1,4,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,West Indies
LWP Wells (SW),2025-2025,4,4,1,69,31*,23.00,48,143.75,-,-,-,9,2,https://www.espncricinfo.com/cricketers/luke-wells-350126,England
RL Chase (ADKR),2025-2025,5,3,-,68,33,22.66,51,133.33,-,-,-,10,2,https://www.espncricinfo.com/cricketers/roston-chase-391832,West Indies
MR Adair (GG),2025-2025,10,6,2,60,20*,15.00,42,142.85,-,-,-,5,2,https://www.espncricinfo.com/cricketers/mark-adair-526441,Ireland
DJ Willey (ADKR),2025-2025,10,6,2,59,41,14.75,53,111.32,-,-,-,1,5,https://www.espncricinfo.com/cricketers/david-willey-308251,England
SP Narine (ADKR),2025-2025,10,7,3,58,22*,14.50,43,134.88,-,-,-,2,5,https://www.espncricinfo.com/cricketers/sunil-narine-230558,West Indies
LJ Evans (ADKR),2025-2025,5,4,1,56,39*,18.66,59,94.91,-,-,-,3,1,https://www.espncricinfo.com/cricketers/laurie-evans-256956,England
Karim Janat (SW),2025-2025,5,5,-,56,23,11.20,45,124.44,-,-,-,2,5,https://www.espncricinfo.com/cricketers/karim-janat-793467,Afghanistan
AC Agar (SW),2025-2025,7,4,3,51,23*,51.00,33,154.54,-,-,-,1,5,https://www.espncricinfo.com/cricketers/ashton-agar-505120,Australia
Rehan Ahmed (GG),2025-2025,2,2,-,50,46,25.00,37,135.13,-,-,-,5,2,https://www.espncricinfo.com/cricketers/rehan-ahmed-1263691,England
