Player,Inns_batting,NO,Runs_batting,HS,Ave_batting,BF,SR_batting,100,50,0,4s,6s,Inns_bowling,Balls,Overs,Mdns,Runs_bowling,Wkts,BBI,Ave_bowling,Econ,SR_bowling,4,5,Team,Nationality,Matches
RL Chase ,3.0,0,68,33,22.66,51.0,133.33,0,0,0,10.0,2.0,1.0,18.0,3.0,0,31.0,1.0,1/31,31.0,10.33,18.0,0,0,ADKR,West Indies,5.0
Rahmanullah Gurbaz ,3.0,0,7,5,2.33,15.0,46.66,0,0,0,0.0,0.0,,,,,,,,,,,,,DV,Afghanistan,3.0
Rehan Ahmed ,2.0,0,50,46,25.00,37.0,135.13,0,0,0,5.0,2.0,2.0,24.0,4.0,0,38.0,1.0,1/33,38.0,9.5,24.0,0,0,GG,England,2.0
Rohan Mustafa ,10.0,3,102,45,14.57,102.0,100.00,0,0,0,11.0,2.0,6.0,66.0,11.0,0,81.0,3.0,2/12,27.0,7.36,22.0,0,0,SW,U.A.E.,12.0
SC Kuggeleijn ,2.0,1,4,4,4.00,2.0,200.00,0,0,0,1.0,0.0,3.0,60.0,10.0,0,115.0,1.0,1/35,115.0,11.5,60.0,0,0,DC,New Zealand,3.0
SD Hope ,12.0,3,527,101,58.55,424.0,124.29,1,3,0,43.0,17.0,,,,,,,,,,,,,DC,West Indies,12.0
SE Rutherford ,8.0,4,115,40*,28.75,67.0,171.64,0,0,1,10.0,8.0,,,,,,,,,,,,,DV,West Indies,11.0
SM Curran ,12.0,5,387,62*,55.28,288.0,134.37,0,3,0,27.0,15.0,13.0,270.0,45.0,0,380.0,7.0,3/28,54.28,8.44,38.57,0,0,DV,England,13.0
SO Hetmyer ,10.0,3,181,41*,25.85,135.0,134.07,0,0,0,15.0,7.0,,,,,,,,,,,,,GG,West Indies,10.0
SP Narine ,7.0,3,58,22*,14.50,43.0,134.88,0,0,0,2.0,5.0,10.0,240.0,40.0,0,247.0,5.0,2/20,49.4,6.17,48.0,0,0,ADKR,West Indies,10.0
SW Billings ,2.0,0,44,38,22.00,26.0,169.23,0,0,0,5.0,2.0,,,,,,,,,,,,,DC,England,4.0
Saghir Khan ,2.0,0,11,11,5.50,6.0,183.33,0,0,1,1.0,1.0,,,,,,,,,,,,,GG,U.A.E.,5.0
Shahid Bhutta ,1.0,1,3,3*,0,9.0,33.33,0,0,0,0.0,0.0,3.0,60.0,10.0,0,119.0,2.0,1/27,59.5,11.9,30.0,0,0,ADKR,U.A.E.,3.0
